day,exercise,setrep,type,rir_w1,rir_w2,rir_w3,rir_w4,note
"День 1 — Верх (сила жима + ширина)","Жим лёжа (штанга, пауза 1с)","4×4–6","A","3–4","2–3","2","5","Основной силовой жим; пауза 1с на груди"
"День 1 — Верх (сила жима + ширина)","Подтягивания (прогрессия/с весом)","4×6–10","B","3","2","1","4–5","Если >8 чистых — добавляй вес"
"День 1 — Верх (сила жима + ширина)","Жим гантелей на наклоне ~30°","3×8–12","B","3","2","1","4–5","Верх груди/передняя дельта"
"День 1 — Верх (сила жима + ширина)","Тяга поддерживаемая (скамья/T-row/трос)","3×8–12","B","3","2","1","4–5","Баланс жимов; щадит поясницу"
"День 1 — Верх (сила жима + ширина)","Махи в стороны (гантели)","3×12–20","C","2","1","0–1","4–5","Средние дельты"
"День 1 — Верх (сила жима + ширина)","Сгибания на наклонной скамье","3×10–15","C","2","1","0–1","4–5","Растяжение длинной головки бицепса"
"День 2 — Низ (задняя цепь + щадящие квадры)","Становая тяга (классика/сумо)","3×3–5","A","3–4","2–3","2","5","Не в отказ; идеальная техника"
"День 2 — Низ (задняя цепь + щадящие квадры)","RDL (румынская тяга)","2–3×8–12","B","3","2","1","4–5","Контроль таза/спины"
"День 2 — Низ (задняя цепь + щадящие квадры)","Жим ногами","4×10–15","D","3","2","1","4–5","Стопы выше/шире, щадит колени"
"День 2 — Низ (задняя цепь + щадящие квадры)","Сгибания ног (сидя/лёжа)","3×12–15","C","2","1","0–1","4–5","Бицепс бедра"
"День 2 — Низ (задняя цепь + щадящие квадры)","Икры стоя (с паузой)","4×10–15","C","2","1","0–1","4–5","Пауза внизу/вверху 1с"
"День 3 — Верх (гипертрофия + плечи/грудь)","Брусья (с отягощением)","4×6–10","B","3","2","1","4–5","Тяжёлый компаунд: трицепс/грудь"
"День 3 — Верх (гипертрофия + плечи/грудь)","Жим плеч гантелями (сидя)","4×8–12","B","3","2","1","4–5","Бережём плечи, техника"
"День 3 — Верх (гипертрофия + плечи/грудь)","Махи в стороны (трос)","4×12–20","C","2","1","0–1","4–5","Средние дельты; постоянное напряжение"
"День 3 — Верх (гипертрофия + плечи/грудь)","Тяга верхнего блока широкой к груди","3×10–15","B","3","2","1","4–5","Верх спины/задняя дельта"
"День 3 — Верх (гипертрофия + плечи/грудь)","Обратные разведения (pec-deck/трос)","3×15–20","C","2","1","0–1","4–5","Задние дельты"
"День 3 — Верх (гипертрофия + плечи/грудь)","Разгибания трицепса над головой (трос)","4×10–15","C","2","1","0–1","4–5","Растянутая длинная головка"
"День 3 — Верх (гипертрофия + плечи/грудь)","Сгибания на тросе (кабель)","2×12–15","C","2","1","0–1","4–5","Доп. объём бицепса"
"День 4 — Ноги/Руки (умеренный объём рук, щадяще)","Разгибания ног (машина)","3×15–20","D","3","2","1","4–5","Темп 2–1–2; пауза 1с"
"День 4 — Ноги/Руки (умеренный объём рук, щадяще)","Присед широкой стойкой (low-bar/box)","3×6–8","B","3","2","1","4–5","Акцент ягодичные; вертикальная голень"
"День 4 — Ноги/Руки (умеренный объём рук, щадяще)","Молотковые сгибания (гантели)","3×10–15","C","2","1","0–1","4–5","Брахиалис/предплечье"
"День 4 — Ноги/Руки (умеренный объём рук, щадяще)","Skullcrushers / канат","3×10–15","C","2","1","0–1","4–5","Выбирай вариант комфортный локтям"
"День 4 — Ноги/Руки (умеренный объём рук, щадяще)","Сгибания кисти (штанга)","3×15–25","C","2","1","0–1","4–5","Флексоры"
"День 4 — Ноги/Руки (умеренный объём рук, щадяще)","Разгибания кисти (гантели, ладонь вниз)","3×15–25","C","2","1","0–1","4–5","Экстензоры"


